bowler,total_wickets,total_balls,total_runs_given,economy
Mujeeb Ur Rahman,0,25,35,8.4
Naman Dhir,0,23,41,10.7
N Rana,0,6,5,5.0
Jalaj S Saxena,0,18,27,9.0
RG Sharma,0,7,18,15.43
C de Grandhomme,0,14,14,6.0
JM Kemp,0,6,12,12.0
SW Tait,0,22,32,8.73
CJ Anderson,0,32,40,7.5
CL White,0,19,41,12.95
DP Nannes,0,24,22,5.5
SE Rutherford,0,7,10,8.57
FY Fazal,0,6,14,14.0
SB Wagh,0,12,18,9.0
SB Styris,0,25,18,4.32
N Wadhera,0,17,22,7.76
S Tyagi,0,13,23,10.62
S Sriram,0,12,24,12.0
GH Vihari,0,19,13,4.11
S Rana,0,4,2,3.0
S Narwal,0,14,15,6.43
GS Sandhu,0,24,49,12.25
S Ladda,0,12,21,10.5
Gulbadin Naib,0,6,12,12.0
S Joseph,0,30,37,7.4
HR Shokeen,0,39,43,6.62
J Overton,0,41,78,11.41
RW Price,0,18,33,11.0
JJ van der Wath,0,24,50,12.5
RJW Topley,0,37,73,11.84
M Ntini,0,24,21,5.25
